iter,best_fitness,time,
1,0.016,1605814172.0522041
2,0.016,1605814629.172684
3,0.016,1605815034.0459468
4,0.006,1605815459.032749
5,0.006,1605815716.347808
6,0.006,1605816001.988543
7,0.006,1605816210.122123
8,0.005,1605816496.301037
9,0.005,1605816837.472193
10,0.005,1605817283.0937028
11,0.005,1605817744.527797
12,0.005,1605818237.6635258
13,0.005,1605818671.14524
14,0.005,1605819414.827971
15,0.005,1605819866.111873
16,0.005,1605820241.378464
17,0.005,1605820557.98597
18,0.005,1605820833.4336598
19,0.005,1605821186.965364
20,0.005,1605821601.023815
21,0.005,1605821941.233432
22,0.005,1605822329.344604
23,0.005,1605822802.633718
24,0.005,1605823117.934238
25,0.005,1605823418.775257
26,0.005,1605823716.523007
27,0.005,1605824044.8113122
28,0.005,1605824441.830986
29,0.005,1605824720.219278
30,0.005,1605825007.157224
31,0.005,1605825298.016259
32,0.005,1605825629.505572
33,0.005,1605825897.9885702
34,0.005,1605826172.250883
35,0.005,1605826445.710976
36,0.004,1605826787.580035
37,0.004,1605827195.614829
38,0.004,1605827506.4302962
39,0.004,1605827813.481675
40,0.004,1605828093.704452
41,0.004,1605828475.070888
42,0.004,1605828773.864201
43,0.004,1605829087.076514
44,0.004,1605829411.0863118
45,0.004,1605829757.250697
46,0.004,1605830082.747282
47,0.004,1605830407.619532
48,0.004,1605830727.396426
49,0.004,1605831242.96908
50,0.004,1605831644.973299
51,0.004,1605831938.296559
52,0.004,1605832225.719933
53,0.004,1605832504.2214231
54,0.004,1605832800.907024
55,0.004,1605833069.930902
56,0.004,1605833342.038878
57,0.004,1605833618.331288
58,0.004,1605833991.351254
59,0.004,1605834366.8460958
60,0.004,1605834681.655433
61,0.004,1605834966.505155
62,0.004,1605835251.140089
63,0.004,1605835563.921607
64,0.004,1605835820.4076211
65,0.004,1605836157.1634219
66,0.004,1605836418.7182028
67,0.004,1605836689.799577
68,0.004,1605836975.0388129
